ftype,fcode,hydrographic_status,permanent_identifier,gnis_name,gnis_id,fdate,elevation,reachcode,county,area_ha,area_km2
390 (Lake/Pond),39004,Perennial,62589490,NA,NA,2002-11-27T00:00:00Z,NA,02080205005274,Chesterfield,1.5,0.01
390 (Lake/Pond),39009,Perennial; Average Water Elevation,61496111,NA,NA,2002-11-15T00:00:00Z,68.6,02080207008702,Chesterfield,1.49,0.01
390 (Lake/Pond),39004,Perennial,135653299,NA,NA,2005-05-17T10:57:43Z,NA,02080206015289,Chesterfield,1.48,0.01
390 (Lake/Pond),39004,Perennial,61495175,NA,NA,2002-11-15T00:00:00Z,NA,02080207008296,Chesterfield,1.48,0.01
390 (Lake/Pond),39004,Perennial,61495039,NA,NA,2002-11-15T00:00:00Z,NA,02080207008232,Chesterfield,1.48,0.01
390 (Lake/Pond),39004,Perennial,{95896B78-CEEC-48D8-BF27-5567FDA8C32A},NA,NA,2012-10-16T00:00:00Z,NA,02080207113418,Chesterfield,1.48,0.01
390 (Lake/Pond),39004,Perennial,{C6C36915-EBCE-45DE-96FF-1A7C32BA20F0},NA,NA,2012-10-16T00:00:00Z,NA,02080207113692,Chesterfield,1.48,0.01
390 (Lake/Pond),39009,Perennial; Average Water Elevation,61496125,NA,NA,2002-11-15T00:00:00Z,60.7,02080207002485,Chesterfield,1.47,0.01
390 (Lake/Pond),39004,Perennial,62588530,Westbury Lake,01491079,2002-11-27T00:00:00Z,NA,02080205004956,Henrico,1.45,0.01
390 (Lake/Pond),39004,Perennial,135653298,NA,NA,2005-05-17T10:57:42Z,NA,02080206015290,Henrico,1.44,0.01
390 (Lake/Pond),39004,Perennial,61495579,NA,NA,2002-11-15T00:00:00Z,NA,02080207008482,Chesterfield,1.44,0.01
390 (Lake/Pond),39004,Perennial,135653571,NA,NA,2005-05-17T11:03:36Z,NA,02080206015473,Chesterfield,1.43,0.01
390 (Lake/Pond),39004,Perennial,135652898,NA,NA,2005-05-17T10:48:21Z,NA,02080206014985,Henrico,1.43,0.01
390 (Lake/Pond),39004,Perennial,{C9A46782-17E4-4974-AACA-9ADC53A41501},NA,NA,2012-10-16T00:00:00Z,NA,02080207113222,Chesterfield,1.43,0.01
390 (Lake/Pond),39004,Perennial,{2FBE8CC5-8C86-4E9E-A26D-E41C8EA129A2},NA,NA,2012-10-16T00:00:00Z,NA,02080207113417,Chesterfield,1.43,0.01
